Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
1102000,CD Universe,US,Biz,Retail,Hack,CCN,,Outside,No,,300000,httpattritionorgdataloss200001cduniv01html,DL0427,,No,No,No,No
11142000,Western Union,US,Biz,Fin,Hack,CCN,,Outside,No,,15700,httpattritionorgdataloss200011westernunion01html,DL0001,,WU,No,No,No
11152000,Contour Software,US,Biz,Tech,Web,SSN,,Inside  Accidental,No,,700,httpattritionorgdataloss200011mortgage01html,DL0002,,No,No,No,No
11152000,Travelocity,US,Biz,Retail,Web,NAA,,Inside  Accidental,No,,51000,httpattritionorgdataloss200011travelocity01html,DL0003,,No,No,No,No
1292000,University of Washington Med Ctr,US,Edu,Med,Hack,SSN,NAA,Outside,No,,4000,httpattritionorgdataloss200012uwmc03html,DL0429,,No,No,No,No
352001,AmazonBibliofindcom,US,Biz,Retail,Hack,CCN,NAA,Outside,No,,98000,httpattritionorgdataloss200103biblio01html,DL0004,,AMZN,Unknown,Unknown,Unknown
3202001,atomicparkcom,US,Biz,Tech,Hack,CCN,,Outside,No,,500,httpattritionorgdataloss200103atomicpark01html,DL0005,,No,Unknown,Unknown,Unknown
422001,ADDRcom,US,Biz,Tech,Hack,CCN,NAA,Outside,No,,46000,httpattritionorgdataloss200104addr01html,DL0006,,No,Unknown,Unknown,Unknown
4172001,Accubyte,US,Biz,Tech,Web,CCN,NAA,Inside  Accidental,No,,250,httpattritionorgdataloss200104accubyte01html,DL0007,,No,Unknown,Unknown,Unknown
4272001,Eggheadcom,US,Biz,Retail,Hack,CCN,,Outside,No,,,httpattritionorgdataloss200104egghead01html,DL0008,,EGHDQPK,Unknown,Unknown,Unknown
5252001,Healthorg,US,Gov,Fed,Web,NAA,,Inside  Accidental,No,,,httpattritionorgdataloss200105health01html,DL0009,,No,Unknown,Unknown,Unknown
6212001,ZixItAnacom,US,Biz,Data,Hack,CCN,,Outside,No,,,httpattritionorgdataloss200106zixitanacom01html,DL0010,,No,Unknown,Unknown,Unknown
