Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,TotalAffected,RefPage,UID,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
116,918,16,0,9,11,2,0,7,2,83,3,0,125,0,0,0
118,215,16,0,26,43,9,0,3,2,376,1,1,89,0,0,0
118,761,16,0,24,43,7,0,3,2,313,2,2,89,0,0,0
198,863,16,1,19,11,9,9,7,2,259,4,427,89,0,0,0
314,32,16,0,24,11,2,9,7,2,445,6,3,14,2,1,1
281,942,16,0,26,11,2,0,7,2,307,5,4,89,2,1,1
348,4,16,0,26,11,2,9,7,2,290,8,5,89,2,1,1
342,8,16,0,26,43,2,9,3,2,167,7,6,89,2,1,1
365,271,16,0,24,11,2,0,7,2,451,9,7,42,2,1,1
429,361,16,2,8,43,7,0,3,2,451,10,8,89,2,1,1
491,941,16,0,5,11,2,0,7,2,451,11,9,89,2,1,1
126,940,16,0,20,43,2,9,3,2,43,13,10,127,2,1,1
126,618,16,0,20,11,2,0,7,2,451,12,11,95,2,1,1
294,63,5,0,26,43,8,0,3,2,304,14,12,25,2,1,1
298,509,16,0,26,43,8,5,3,2,451,16,13,83,2,1,1
302,786,16,2,8,43,6,0,7,2,451,15,14,89,2,1,1
48,784,16,2,8,31,9,9,7,3,335,18,433,89,0,0,0
51,377,2,0,26,32,9,9,7,2,110,17,437,63,0,0,0
240,394,16,1,19,11,9,9,7,2,377,19,428,89,2,1,1
317,231,16,0,5,11,2,0,7,2,311,20,15,89,2,1,1
317,856,16,1,28,11,9,5,7,2,328,22,16,89,2,1,1
311,326,16,1,28,11,2,0,7,2,336,21,17,89,2,1,1
454,884,16,0,9,11,2,0,7,2,399,23,18,89,2,1,1
542,613,16,0,24,43,2,0,7,2,310,24,19,92,0,0,0
131,905,16,0,9,30,9,9,7,2,451,25,20,119,0,0,2
166,9,16,0,5,9,2,9,5,2,451,26,21,3,2,1,2
168,69,16,0,9,36,9,9,7,2,275,27,22,89,2,1,1
60,774,16,2,8,8,3,0,1,2,4,30,23,89,2,1,1
1,562,16,1,28,43,9,9,3,2,108,29,435,89,0,0,0
10,21,16,0,16,30,2,0,7,2,451,28,24,89,2,1,1
45,821,16,1,28,11,9,3,7,2,128,31,25,89,2,1,1
243,562,16,1,28,43,9,9,3,2,139,33,436,89,0,0,0
209,127,16,2,25,11,9,9,7,2,424,32,26,89,2,1,1
271,660,16,1,28,11,9,9,7,2,106,36,27,89,2,1,1
275,60,16,0,24,11,2,0,7,2,451,34,665,21,2,1,1
303,311,16,0,9,37,9,9,7,2,129,35,467,89,0,0,0
339,294,16,0,9,11,2,0,7,2,451,37,28,89,2,1,1
371,385,16,2,25,11,6,0,7,2,129,38,29,89,2,1,1
371,809,16,1,28,36,9,9,7,2,71,39,30,89,2,1,1
455,807,16,1,28,11,0,0,7,2,245,41,870,89,0,0,0
392,23,16,4,21,32,9,9,7,3,438,40,434,89,0,0,0
502,33,16,0,26,9,3,9,5,2,210,42,31,111,2,1,1
546,401,16,0,26,30,2,0,7,2,296,43,466,66,0,0,0
642,122,16,1,28,36,9,9,7,2,155,44,32,89,2,1,1
674,733,16,0,5,9,6,0,5,2,208,46,33,89,0,0,2
691,121,16,1,28,11,9,9,7,2,127,45,34,89,2,1,1
134,104,16,0,9,36,9,9,7,2,327,47,465,89,0,2,0
175,241,16,4,21,36,9,9,7,2,5,48,35,89,2,1,1
179,349,16,2,4,43,9,9,3,2,451,49,371,89,2,1,1
2,320,16,1,28,11,9,9,7,2,218,50,36,89,2,1,1
19,848,16,1,28,11,9,9,7,2,230,51,37,89,2,1,1
29,843,16,1,28,15,9,9,3,2,85,52,391,89,2,1,1
207,651,16,2,8,30,9,9,7,2,285,55,38,100,2,1,1
220,810,16,1,19,9,7,0,5,2,405,57,39,89,2,1,1
228,726,16,0,26,9,8,5,7,2,258,56,40,89,0,0,2
238,70,16,0,9,25,2,9,7,3,6,53,41,19,0,0,0
238,560,16,2,25,43,6,0,0,0,451,54,42,89,2,1,1
255,605,16,0,9,43,6,0,0,0,5,64,43,89,2,1,1
278,805,16,1,28,11,9,9,7,2,19,0,373,89,2,1,1
260,445,16,2,25,30,9,9,7,2,419,62,44,89,2,1,1
260,162,16,0,5,9,9,9,7,2,95,60,45,32,2,1,1
260,422,16,4,21,43,5,0,3,2,61,61,46,89,2,1,1
268,156,16,1,28,11,9,9,7,2,341,59,47,89,2,1,1
272,98,16,1,28,11,9,9,7,2,37,58,48,89,2,1,1
274,708,16,2,25,0,6,0,0,0,451,63,49,89,2,1,1
276,799,16,1,28,11,6,0,7,2,308,66,50,89,2,1,1
288,808,16,1,28,11,9,9,7,2,377,0,374,89,2,1,1
300,797,16,1,28,36,9,9,7,2,447,65,51,89,3,1,1
381,663,16,4,22,30,9,9,5,2,114,75,52,89,0,0,2
330,450,16,0,5,11,9,9,7,2,215,73,53,89,2,2,2
330,542,16,0,21,11,2,9,7,3,78,70,54,89,2,1,1
330,765,16,1,28,43,6,0,7,3,14,76,55,89,2,1,1
338,620,16,0,24,9,2,0,7,2,110,74,56,98,2,1,1
349,42,16,0,9,25,7,1,7,3,129,67,57,13,1,0,0
352,139,16,1,28,11,9,3,7,2,117,69,58,89,2,1,1
360,533,9,0,26,36,7,5,7,2,142,0,375,89,2,1,1
362,163,16,4,14,30,9,7,7,3,90,68,59,89,2,1,1
368,325,16,1,28,11,9,3,7,2,451,72,60,89,2,1,1
372,299,16,1,28,11,9,3,7,2,451,71,392,89,2,1,1
412,196,16,2,19,36,5,0,7,2,89,80,61,89,2,1,1
449,48,16,0,9,43,9,9,7,2,451,77,393,89,2,1,1
452,508,16,1,28,11,2,0,7,2,260,85,62,89,2,1,1
393,368,16,1,13,11,9,0,7,2,451,82,63,89,2,1,1
393,914,16,0,9,9,9,0,5,2,388,91,64,89,2,1,1
397,327,16,2,25,9,9,9,5,2,293,81,65,89,2,1,1
402,589,16,1,28,36,9,0,7,2,240,86,66,89,2,1,1
408,825,16,1,28,11,2,0,7,2,208,89,67,89,2,1,1
420,869,16,1,28,11,9,0,7,2,260,90,68,89,2,1,1
424,411,16,1,28,11,9,0,7,2,400,83,69,89,2,1,1
424,72,16,0,9,9,1,0,5,2,372,78,70,19,2,1,1
424,472,16,0,26,36,9,9,7,2,96,84,71,76,2,1,1
430,631,16,1,28,11,9,3,7,2,29,87,72,89,2,1,1
435,699,16,1,28,11,9,9,7,2,440,88,73,89,2,1,1
436,500,16,0,5,9,2,0,7,2,340,0,376,89,2,1,1
442,126,16,2,19,36,9,7,7,2,144,79,74,89,2,1,1
462,778,16,2,8,36,6,0,7,3,401,107,75,89,2,1,1
521,262,16,1,19,11,9,0,7,2,63,98,76,89,2,1,1
521,189,16,1,28,36,9,9,7,2,279,95,77,89,2,1,1
525,165,16,0,9,25,9,1,7,3,253,94,78,26,0,0,0
472,529,16,0,26,30,9,9,7,3,451,106,79,82,2,1,1
